epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.545,1.59967,1.52759,1.33926,0.83569,0.77983,0.85529,0.46778,1.46665,1.26965,1.28991,0.0670833,0.000332492,0.000332492
2,287.515,1.44923,1.11415,1.25369,0.82053,0.87659,0.89393,0.52403,1.42789,0.92338,1.2709,0.0340614,0.000643853,0.000643853
3,427.328,1.40553,1.03352,1.22997,0.86829,0.88148,0.91771,0.56389,1.34989,0.82908,1.22622,0.00101739,0.000933214,0.000933214
4,563.544,1.37881,0.97209,1.21477,0.854,0.90456,0.91538,0.56108,1.36823,0.79498,1.22498,0.000901,0.000901,0.000901
5,698.358,1.33935,0.9226,1.19971,0.89217,0.88393,0.93036,0.57784,1.32555,0.77984,1.20725,0.000868,0.000868,0.000868
6,834.624,1.32305,0.89239,1.18899,0.89148,0.90111,0.92364,0.59715,1.26227,0.74411,1.17545,0.000835,0.000835,0.000835
7,969.645,1.29938,0.86446,1.17665,0.86449,0.91254,0.93343,0.59668,1.27084,0.7494,1.18123,0.000802,0.000802,0.000802
8,1105.57,1.27481,0.83925,1.16508,0.8758,0.91858,0.93629,0.59969,1.26027,0.70612,1.17585,0.000769,0.000769,0.000769
9,1241.08,1.25111,0.80544,1.15214,0.89447,0.91746,0.9405,0.60667,1.24767,0.69611,1.16893,0.000736,0.000736,0.000736
10,1376.58,1.24308,0.79521,1.15117,0.90801,0.91106,0.94757,0.61628,1.26799,0.68053,1.17929,0.000703,0.000703,0.000703
11,1513.74,1.23296,0.77918,1.14472,0.88432,0.92947,0.94369,0.62035,1.24122,0.66687,1.1578,0.00067,0.00067,0.00067
12,1650.41,1.20711,0.75569,1.13149,0.89217,0.92381,0.94173,0.62251,1.22184,0.65563,1.15551,0.000637,0.000637,0.000637
13,1786.22,1.20243,0.74899,1.13119,0.89534,0.93848,0.94859,0.62096,1.23392,0.64608,1.15877,0.000604,0.000604,0.000604
14,1920.37,1.19461,0.74166,1.12516,0.90243,0.92976,0.95071,0.62442,1.24921,0.65025,1.16886,0.000571,0.000571,0.000571
15,2056.18,1.18562,0.7227,1.1194,0.88527,0.94713,0.95181,0.63235,1.22277,0.62584,1.14373,0.000538,0.000538,0.000538
16,2190.91,1.1757,0.71433,1.11828,0.8998,0.92422,0.94753,0.62866,1.2175,0.62236,1.14421,0.000505,0.000505,0.000505
17,2327.55,1.16239,0.70845,1.11305,0.91303,0.92882,0.95604,0.64232,1.21068,0.61394,1.14715,0.000472,0.000472,0.000472
18,2460.93,1.15997,0.70122,1.11373,0.8968,0.9328,0.95118,0.63578,1.20779,0.63603,1.14154,0.000439,0.000439,0.000439
19,2597.74,1.14717,0.68716,1.10479,0.90643,0.93417,0.95174,0.64661,1.18965,0.62485,1.13457,0.000406,0.000406,0.000406
20,2734.07,1.13772,0.67642,1.10185,0.91652,0.91973,0.95272,0.63616,1.22047,0.62118,1.15002,0.000373,0.000373,0.000373
21,2857.97,1.06598,0.53197,1.11737,0.91106,0.93631,0.95599,0.65165,1.19323,0.59405,1.13291,0.00034,0.00034,0.00034
22,2978.89,1.04403,0.51694,1.10286,0.92492,0.92102,0.95441,0.63962,1.19311,0.61362,1.12752,0.000307,0.000307,0.000307
23,3101.8,1.03516,0.50594,1.09715,0.91446,0.92726,0.95418,0.65003,1.18279,0.59171,1.12469,0.000274,0.000274,0.000274
24,3222.8,1.0174,0.49184,1.09288,0.92181,0.92214,0.9512,0.65195,1.17655,0.59889,1.12536,0.000241,0.000241,0.000241
25,3346.03,1.00524,0.48188,1.08571,0.89978,0.94647,0.95644,0.65762,1.17498,0.59437,1.12067,0.000208,0.000208,0.000208
26,3468.56,0.99724,0.47136,1.07819,0.91154,0.93486,0.95319,0.65831,1.17782,0.58578,1.12266,0.000175,0.000175,0.000175
27,3588.88,0.98439,0.46417,1.07226,0.90117,0.94535,0.95449,0.65778,1.17247,0.58461,1.12009,0.000142,0.000142,0.000142
28,3713.44,0.97724,0.45679,1.06711,0.91039,0.94375,0.9551,0.65758,1.17927,0.58073,1.12161,0.000109,0.000109,0.000109
29,3836.57,0.96357,0.44441,1.06275,0.91161,0.94425,0.95552,0.6612,1.16537,0.57248,1.11694,7.6e-05,7.6e-05,7.6e-05
30,3958.24,0.95337,0.44044,1.0559,0.91229,0.94308,0.95586,0.66335,1.16025,0.57019,1.11624,4.3e-05,4.3e-05,4.3e-05
